tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
47006,2.540924,-483.27783,33.854706,-2124.8657,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47007,2.540924,-480.8219,33.854706,-2122.2893,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47008,2.540924,-478.5044,33.854706,-2119.62,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47009,2.540924,-476.33203,33.854706,-2116.8535,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47010,2.540924,-474.27625,33.854706,-2114.0088,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47011,2.540924,-472.32764,33.854706,-2111.0923,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47012,2.540924,-470.47778,33.854706,-2108.1099,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47013,2.5639343,-468.7185,33.854706,-2105.067,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47014,2.6566315,-467.04272,33.854706,-2101.9683,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47015,2.748993,-465.2879,33.854706,-2098.9219,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47016,2.9106903,-463.4204,33.837204,-2095.9504,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47017,3.0723877,-461.43524,33.716003,-2093.0576,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47018,3.095398,-459.3545,33.6985,-2090.2285,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47019,3.095398,-457.1858,33.6985,-2087.4578,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47020,3.095398,-454.93634,33.6985,-2084.7407,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47021,3.095398,-452.6129,33.6985,-2082.073,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47022,3.095398,-450.2212,33.6985,-2079.4507,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47023,3.095398,-447.76672,33.6985,-2076.87,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47024,3.095398,-445.25488,33.6985,-2074.3276,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47025,3.095398,-442.69006,33.6985,-2071.8206,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47026,3.095398,-440.0807,33.6985,-2069.3496,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47027,3.095398,-437.4358,33.6985,-2066.9165,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47028,3.095398,-434.7589,33.6985,-2064.5188,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47029,3.095398,-432.05298,33.6985,-2062.1538,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47030,3.095398,-429.32104,33.6985,-2059.819,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47031,3.095398,-426.56537,33.6985,-2057.5122,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47032,3.095398,-423.78845,33.6985,-2055.231,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47033,3.095398,-420.99213,33.6985,-2052.9736,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47034,3.095398,-418.17865,33.6985,-2050.7378,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47035,3.095398,-415.34442,33.6985,-2048.5508,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47036,3.095398,-412.43896,33.6985,-2046.5973,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47037,3.095398,-409.45178,33.6985,-2044.9116,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47038,3.095398,-406.4046,33.6985,-2043.4233,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47039,3.095398,-403.30225,33.681335,-2042.1163,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47040,3.095398,-400.14917,33.66382,-2040.9763,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47041,3.0723877,-396.94946,33.646667,-2039.9899,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47042,3.0723877,-393.70715,33.646667,-2039.1443,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47043,3.0723877,-390.42535,33.646667,-2038.4283,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47044,3.0723877,-387.10724,33.646667,-2037.8313,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47045,3.0723877,-383.76025,33.66382,-2037.3279,-179.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47046,3.0723877,-380.42798,33.681335,-2036.6952,-179.85974,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47047,3.0723877,-377.1109,33.716003,-2035.9304,-179.53088,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47048,3.0723877,-373.8064,33.733185,-2035.0562,-179.19836,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47049,3.0723877,-370.51367,33.750687,-2034.0813,-178.8623,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47050,3.0723877,-367.2317,33.750687,-2033.014,-178.52313,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47051,3.0723877,-363.9596,33.750687,-2031.862,-178.18109,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47052,3.0723877,-360.69647,33.767853,-2030.632,-177.83636,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47053,3.0723877,-357.44202,33.80252,-2029.3298,-177.4892,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47054,3.0723877,-354.1953,33.837204,-2027.9617,-177.13983,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47055,3.0723877,-350.9558,33.871887,-2026.5323,-176.78833,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47056,3.095398,-347.72327,33.92372,-2025.0466,-176.43494,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47057,3.095398,-344.49707,33.941223,-2023.5093,-176.07983,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47058,3.095398,-341.27673,33.958405,-2021.9243,-175.72314,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47059,3.095398,-338.0708,33.975906,-2020.3003,-175.36603,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47060,3.095398,-334.88232,33.993073,-2018.6425,-175.00891,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47061,3.095398,-331.71008,34.01059,-2016.9536,-174.65186,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47062,3.095398,-328.55304,34.01059,-2015.2366,-174.29492,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47063,3.095398,-325.4101,34.02774,-2013.4939,-173.93811,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47064,3.095398,-322.28027,34.045258,-2011.7278,-173.58142,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47065,3.095398,-319.16266,34.079926,-2009.9402,-173.22485,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47066,3.1184082,-316.05646,34.131775,-2008.1328,-172.86841,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47067,3.1417542,-312.96094,34.23581,-2006.3073,-172.51208,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47068,3.1417542,-309.8756,34.37451,-2004.4645,-172.15594,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47069,3.1647491,-306.80017,34.547546,-2002.6053,-171.79993,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47070,3.1647491,-303.73438,34.738083,-2000.7302,-171.44409,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47071,3.1877441,-300.67804,34.89395,-1998.8397,-171.08838,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47072,3.1877441,-297.63068,35.032654,-1996.9348,-170.73291,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47073,3.1877441,-294.59222,35.206024,-1995.0157,-170.3775,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47074,3.1877441,-291.4981,35.396576,-1993.2974,-170.02612,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47075,3.1877441,-288.35077,35.60428,-1991.7689,-169.6784,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47076,3.2107544,-285.15344,35.8295,-1990.4165,-169.3341,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47077,3.2107544,-281.91064,36.002884,-1989.2224,-168.9928,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47078,3.2341003,-278.62604,36.141586,-1988.1729,-168.65417,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47079,3.2341003,-275.30322,36.262787,-1987.2555,-168.318,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47080,3.2341003,-271.94482,36.436157,-1986.4587,-167.98407,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47081,3.2341003,-268.55347,36.661377,-1985.7716,-167.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47082,3.2341003,-265.13184,36.921265,-1985.1836,-167.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47083,3.2107544,-261.68225,37.198334,-1984.6852,-167.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
47084,3.2107544,-258.2069,37.45822,-1984.268,-167.96875,76561199418416731,kyousuke,1,deagle,pistol,362.97854500058986,-0.3464203,2.3040314,0.07266302
