tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
11203,2.7280426,685.6885,-2.091858,-2122.173,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11204,2.771988,685.6676,-3.015747,-2122.8096,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11205,2.8159332,685.65015,-3.9619446,-2123.3445,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11206,2.8598785,685.6361,-5.0396423,-2123.7778,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11207,2.9261475,685.6254,-6.1396484,-2124.1096,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11208,2.9920654,685.61816,-7.371826,-2124.3398,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11209,3.0360107,685.6142,-8.44986,-2124.4685,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11210,3.0360107,685.61334,-9.659729,-2124.4956,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11211,3.0579834,685.61334,-10.71579,-2124.4956,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11212,2.9700928,685.61334,-11.947632,-2124.4956,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11213,2.9041748,685.61334,-13.157837,-2124.4956,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11214,2.7939606,685.7386,-13.707855,-2124.5261,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11215,2.7939606,685.9606,-13.707855,-2124.5803,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11216,2.7939606,686.2622,-13.707855,-2124.654,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11217,2.7939606,686.63464,-13.707855,-2124.7449,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11218,2.7939606,687.0779,-13.707855,-2124.8528,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11219,2.7939606,687.5919,-13.707855,-2124.9783,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11220,2.7939606,688.17676,-13.707855,-2125.1208,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11221,2.7939606,688.8324,-13.707855,-2125.2805,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11222,2.7939606,689.55884,-13.707855,-2125.4578,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11223,2.7939606,690.3561,-13.707855,-2125.652,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11224,2.7939606,691.2241,-13.707855,-2125.8635,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11225,2.7939606,692.16296,-13.707855,-2126.0925,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11226,2.7939606,693.1726,-13.707855,-2126.3386,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11227,2.771988,694.25287,-13.971863,-2126.6025,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11228,2.8818512,695.40344,-14.609756,-2126.8865,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11229,2.9261475,696.62366,-15.555954,-2127.1929,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11230,2.9261475,697.9116,-16.809769,-2127.525,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11231,2.9261475,699.2607,-18.151825,-2127.884,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11232,2.9261475,700.6646,-19.383667,-2128.272,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11233,2.9700928,702.1178,-20.791626,-2128.6904,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
11234,3.014038,703.61505,-21.891632,-2129.1396,-415.96875,76561198173700433,aVa,0,ak47,rifle,1129.1997109890058,0.0,0.0,1.1027459
